# Frozen from Eden source revision 612409c7ba.
# Source: src/video_core/renderer_vulkan/maxwell_to_vk.cpp SURFACE_FORMAT_LIST
# State is evaluated against Vulkan-PS5 native_image_format at c3cedbc plus the current integer-format slice.
eden_pixel_format	vk_format	eden_usage	vulkan_ps5_state
ASTC_2D_8X5_UNORM	VK_FORMAT_ASTC_8x5_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_5X4_UNORM	VK_FORMAT_ASTC_5x4_UNORM_BLOCK	0	transcode_required_astc
B8G8R8A8_SRGB	VK_FORMAT_B8G8R8A8_SRGB	usage_attachable	direct
BC1_RGBA_SRGB	VK_FORMAT_BC1_RGBA_SRGB_BLOCK	0	direct
BC2_SRGB	VK_FORMAT_BC2_SRGB_BLOCK	0	direct
BC3_SRGB	VK_FORMAT_BC3_SRGB_BLOCK	0	direct
BC7_SRGB	VK_FORMAT_BC7_SRGB_BLOCK	0	direct
A4B4G4R4_UNORM	VK_FORMAT_A4B4G4R4_UNORM_PACK16_EXT	0	gap_uncompressed
G4R4_UNORM	VK_FORMAT_R4G4_UNORM_PACK8	0	gap_uncompressed
ASTC_2D_4X4_SRGB	VK_FORMAT_ASTC_4x4_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_8X8_SRGB	VK_FORMAT_ASTC_8x8_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_8X5_SRGB	VK_FORMAT_ASTC_8x5_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_5X4_SRGB	VK_FORMAT_ASTC_5x4_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_5X5_UNORM	VK_FORMAT_ASTC_5x5_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_5X5_SRGB	VK_FORMAT_ASTC_5x5_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_10X8_UNORM	VK_FORMAT_ASTC_10x8_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_10X8_SRGB	VK_FORMAT_ASTC_10x8_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_6X6_UNORM	VK_FORMAT_ASTC_6x6_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_6X6_SRGB	VK_FORMAT_ASTC_6x6_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_10X6_UNORM	VK_FORMAT_ASTC_10x6_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_10X6_SRGB	VK_FORMAT_ASTC_10x6_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_10X5_UNORM	VK_FORMAT_ASTC_10x5_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_10X5_SRGB	VK_FORMAT_ASTC_10x5_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_10X10_UNORM	VK_FORMAT_ASTC_10x10_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_10X10_SRGB	VK_FORMAT_ASTC_10x10_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_12X10_UNORM	VK_FORMAT_ASTC_12x10_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_12X10_SRGB	VK_FORMAT_ASTC_12x10_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_12X12_UNORM	VK_FORMAT_ASTC_12x12_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_12X12_SRGB	VK_FORMAT_ASTC_12x12_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_8X6_UNORM	VK_FORMAT_ASTC_8x6_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_8X6_SRGB	VK_FORMAT_ASTC_8x6_SRGB_BLOCK	0	transcode_required_astc
ASTC_2D_6X5_UNORM	VK_FORMAT_ASTC_6x5_UNORM_BLOCK	0	transcode_required_astc
ASTC_2D_6X5_SRGB	VK_FORMAT_ASTC_6x5_SRGB_BLOCK	0	transcode_required_astc
E5B9G9R9_FLOAT	VK_FORMAT_E5B9G9R9_UFLOAT_PACK32	0	gap_uncompressed
ETC2_RGB_UNORM	VK_FORMAT_ETC2_R8G8B8_UNORM_BLOCK	0	transcode_required_etc2_eac
ETC2_RGBA_UNORM	VK_FORMAT_ETC2_R8G8B8A8_UNORM_BLOCK	0	transcode_required_etc2_eac
ETC2_RGB_PTA_UNORM	VK_FORMAT_ETC2_R8G8B8A1_UNORM_BLOCK	0	transcode_required_etc2_eac
ETC2_RGB_SRGB	VK_FORMAT_ETC2_R8G8B8_SRGB_BLOCK	0	transcode_required_etc2_eac
ETC2_RGBA_SRGB	VK_FORMAT_ETC2_R8G8B8A8_SRGB_BLOCK	0	transcode_required_etc2_eac
ETC2_RGB_PTA_SRGB	VK_FORMAT_ETC2_R8G8B8A1_SRGB_BLOCK	0	transcode_required_etc2_eac
EAC_R11_UNORM	VK_FORMAT_EAC_R11_UNORM_BLOCK	0	transcode_required_etc2_eac
EAC_R11_SNORM	VK_FORMAT_EAC_R11_SNORM_BLOCK	0	transcode_required_etc2_eac
EAC_R11G11_UNORM	VK_FORMAT_EAC_R11G11_UNORM_BLOCK	0	transcode_required_etc2_eac
EAC_R11G11_SNORM	VK_FORMAT_EAC_R11G11_SNORM_BLOCK	0	transcode_required_etc2_eac
D32_FLOAT	VK_FORMAT_D32_SFLOAT	usage_attachable	direct
D16_UNORM	VK_FORMAT_D16_UNORM	usage_attachable	direct
X8_D24_UNORM	VK_FORMAT_X8_D24_UNORM_PACK32	usage_attachable	fail_closed_d24
S8_UINT	VK_FORMAT_S8_UINT	usage_attachable	direct
D24_UNORM_S8_UINT	VK_FORMAT_D24_UNORM_S8_UINT	usage_attachable	fail_closed_d24
S8_UINT_D24_UNORM	VK_FORMAT_D24_UNORM_S8_UINT	usage_attachable	fail_closed_d24
D32_FLOAT_S8_UINT	VK_FORMAT_D32_SFLOAT_S8_UINT	usage_attachable	direct
